condition,n,median,Q1,Q3,IQR,whisker_min,whisker_max
control,327,4.2048,3.7539,4.5337,0.7798,2.7001,5.3143
CRC,332,4.3205,3.8145,4.6619,0.8474,2.5556,5.5084
