Abiotrophia_defectiva
Achromobacter_piechaudii
Achromobacter_unclassified
Acidaminococcus_fermentans
Acidaminococcus_intestini
Acidaminococcus_sp_BV3L6
Acidaminococcus_sp_D21
Acidaminococcus_sp_HPA0509
Acidaminococcus_unclassified
Acinetobacter_baumannii
Acinetobacter_johnsonii
Acinetobacter_junii
Acinetobacter_lwoffii
Acinetobacter_pittii_calcoaceticus_nosocomialis
Acinetobacter_unclassified
Actinobacillus_unclassified
Actinobaculum_massiliense
Actinobaculum_schaalii
Actinobaculum_unclassified
Actinomyces_cardiffensis
Actinomyces_europaeus
Actinomyces_graevenitzii
Actinomyces_johnsonii
Actinomyces_massiliensis
Actinomyces_naeslundii
Actinomyces_odontolyticus
Actinomyces_oris
Actinomyces_sp_HPA0247
Actinomyces_sp_ICM39
Actinomyces_sp_ICM47
Actinomyces_timonensis
Actinomyces_turicensis
Actinomyces_urogenitalis
Actinomyces_viscosus
Adlercreutzia_equolifaciens
Aeromonas_hydrophila
Aeromonas_unclassified
Aeromonas_veronii
Aggregatibacter_aphrophilus
Aggregatibacter_segnis
Aggregatibacter_unclassified
Agrobacterium_unclassified
Akkermansia_muciniphila
Alcaligenes_unclassified
Alicycliphilus_unclassified
Alistipes_finegoldii
Alistipes_indistinctus
Alistipes_onderdonkii
Alistipes_putredinis
Alistipes_senegalensis
Alistipes_shahii
Alistipes_sp_AP11
Alistipes_sp_HGB5
Alistipes_unclassified
Alloprevotella_rava
Alloprevotella_tannerae
Alloprevotella_unclassified
Alloscardovia_omnicolens
Anaerococcus_lactolyticus
Anaerococcus_obesiensis
Anaerococcus_prevotii
Anaerococcus_tetradius
Anaerococcus_vaginalis
Anaerofustis_stercorihominis
Anaeroglobus_geminatus
Anaerostipes_caccae
Anaerostipes_hadrus
Anaerostipes_sp_3_2_56FAA
Anaerostipes_unclassified
Anaerotruncus_colihominis
Anaerotruncus_unclassified
Arcobacter_butzleri
Arcobacter_unclassified
Asticcacaulis_unclassified
Atopobium_minutum
Atopobium_parvulum
Atopobium_rimae
Atopobium_vaginae
Avian_endogenous_retrovirus_EAV_HP
Bacillus_licheniformis
Bacillus_subtilis
Bacteroidales_bacterium_ph8
Bacteroides_barnesiae
Bacteroides_caccae
Bacteroides_cellulosilyticus
Bacteroides_clarus
Bacteroides_coprocola
Bacteroides_coprophilus
Bacteroides_dorei
Bacteroides_eggerthii
Bacteroides_faecis
Bacteroides_finegoldii
Bacteroides_fluxus
Bacteroides_fragilis
Bacteroides_intestinalis
Bacteroides_massiliensis
Bacteroides_nordii
Bacteroides_oleiciplenus
Bacteroides_ovatus
Bacteroides_pectinophilus
Bacteroides_phage_B124_14
Bacteroides_plebeius
Bacteroides_pyogenes
Bacteroides_salanitronis
Bacteroides_salyersiae
Bacteroides_sp_1_1_14
Bacteroides_sp_1_1_30
Bacteroides_sp_1_1_6
Bacteroides_sp_2_1_16
Bacteroides_sp_2_1_22
Bacteroides_sp_2_1_56FAA
Bacteroides_sp_2_2_4
Bacteroides_sp_3_1_19
Bacteroides_sp_3_1_40A
Bacteroides_sp_3_2_5
Bacteroides_sp_4_3_47FAA
Bacteroides_sp_9_1_42FAA
Bacteroides_sp_D2
Bacteroides_stercoris
Bacteroides_thetaiotaomicron
Bacteroides_uniformis
Bacteroides_vulgatus
Bacteroides_xylanisolvens
Bacteroidetes_bacterium_oral_taxon_272
