Actinomyces_odontolyticus
Adlercreutzia_equolifaciens
Akkermansia_muciniphila
Alistipes_finegoldii
Alistipes_onderdonkii
Alistipes_putredinis
Alistipes_shahii
Anaerostipes_hadrus
Bacteroidales_bacterium_ph8
Bacteroides_caccae
Bacteroides_cellulosilyticus
Bacteroides_dorei
Bacteroides_eggerthii
Bacteroides_finegoldii
Bacteroides_fragilis
Bacteroides_massiliensis
Bacteroides_ovatus
Bacteroides_stercoris
Bacteroides_thetaiotaomicron
Bacteroides_uniformis
Bacteroides_vulgatus
Bacteroides_xylanisolvens
Barnesiella_intestinihominis
Bifidobacterium_adolescentis
Bifidobacterium_longum
Bifidobacterium_pseudocatenulatum
Bilophila_unclassified
Clostridium_bolteae
Clostridium_leptum
Clostridium_scindens
Collinsella_aerofaciens
Coprobacillus_unclassified
Coprococcus_catus
Coprococcus_comes
Dialister_invisus
Dorea_formicigenerans
Dorea_longicatena
Eggerthella_lenta
Eggerthella_unclassified
Erysipelotrichaceae_bacterium_21_3
Erysipelotrichaceae_bacterium_6_1_45
Escherichia_coli
Escherichia_unclassified
Eubacterium_biforme
Eubacterium_eligens
Eubacterium_hallii
Eubacterium_ramulus
Eubacterium_rectale
Eubacterium_siraeum
Eubacterium_ventriosum
Faecalibacterium_prausnitzii
Gordonibacter_pamelaeae
Holdemania_filiformis
Holdemania_unclassified
Lachnospiraceae_bacterium_1_1_57FAA
Lachnospiraceae_bacterium_1_4_56FAA
Lachnospiraceae_bacterium_2_1_58FAA
Lachnospiraceae_bacterium_3_1_46FAA
Lachnospiraceae_bacterium_3_1_57FAA_CT1
Lachnospiraceae_bacterium_5_1_57FAA
Lachnospiraceae_bacterium_5_1_63FAA
Lachnospiraceae_bacterium_7_1_58FAA
Lachnospiraceae_bacterium_8_1_57FAA
Oscillibacter_unclassified
Parabacteroides_distasonis
Parabacteroides_merdae
Parabacteroides_unclassified
Paraprevotella_unclassified
Porphyromonas_asaccharolytica
Roseburia_hominis
Roseburia_intestinalis
Roseburia_inulinivorans
Roseburia_unclassified
Rothia_mucilaginosa
Ruminococcus_bromii
Ruminococcus_callidus
Ruminococcus_gnavus
Ruminococcus_lactaris
Ruminococcus_obeum
Ruminococcus_torques
Streptococcus_australis
Streptococcus_parasanguinis
Streptococcus_salivarius
Streptococcus_thermophilus
Subdoligranulum_unclassified
Veillonella_parvula
Veillonella_unclassified
