dataset,n_ctrl,n_crc,p_ctrl_vs_crc,delta_ctrl_vs_crc,delta_ctrl_vs_crc_ci_lo,delta_ctrl_vs_crc_ci_hi,delta_ctrl_vs_crc_label,padj_p_ctrl_vs_crc
FengQ_2015,48,37,0.2229305854250695,-0.1554,-0.4122,0.0968,small,0.42678175453778505
HanniganGD_2017,22,22,0.9345240995873741,-0.0165,-0.3719,0.3306,negligible,0.9345240995873741
ThomasAM_2019_a,19,23,0.5275403300386445,-0.1167,-0.4645,0.2357,negligible,0.5955573394309966
ThomasAM_2019_b,22,26,0.25080961896640397,-0.1958,-0.514,0.1329,small,0.42678175453778505
ThomasAM_2019_c,32,32,0.007099420911655748,-0.3926,-0.6367,-0.1191,medium,0.06389478820490173
VogtmannE_2016,41,42,0.2845211696918567,-0.137,-0.3775,0.1208,negligible,0.42678175453778505
WirbelJ_2018,52,48,0.12307290388263306,-0.1795,-0.403,0.0553,small,0.42678175453778505
YuJ_2015,42,60,0.5293843017164415,0.0738,-0.1603,0.3048,negligible,0.5955573394309966
ZellerG_2014,49,42,0.22777535931555437,0.1477,-0.0894,0.3878,small,0.42678175453778505
