rank,mean_auroc,std_auroc,params,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_criterion,param_class_weight,param_ccp_alpha
4722,0.7224062578625188,0.09624815842176529,"{'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_samples': 0.9, 'max_features': 0.3, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0}",500,20,8,0.9,0.3,10.0,entropy,balanced_subsample,0.0
4723,0.7224054022299686,0.09908567949733614,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_samples': None, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.001}",500,10,2,,sqrt,10.0,entropy,balanced_subsample,0.001
4724,0.7224054022299686,0.09908567949733614,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_samples': None, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0}",500,10,2,,sqrt,10.0,entropy,balanced_subsample,0.0
4725,0.7224043285340666,0.09772002925982172,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_samples': 0.9, 'max_features': 0.2, 'max_depth': None, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0}",500,5,1,0.9,0.2,,entropy,balanced_subsample,0.0
4726,0.7224043285340666,0.09772002925982172,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_samples': 0.9, 'max_features': 0.2, 'max_depth': None, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.001}",500,5,1,0.9,0.2,,entropy,balanced_subsample,0.001
4727,0.7224042064132559,0.10483417013784654,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_samples': None, 'max_features': 0.2, 'max_depth': None, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0001}",500,2,2,,0.2,,gini,balanced_subsample,0.0001
4728,0.7224042064132559,0.10483417013784654,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_samples': None, 'max_features': 0.2, 'max_depth': None, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0}",500,2,2,,0.2,,gini,balanced_subsample,0.0
4729,0.7224033586206956,0.0994269727473176,"{'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0001}",500,20,2,0.5,0.3,5.0,gini,balanced_subsample,0.0001
4730,0.7224033586206956,0.0994269727473176,"{'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.001}",500,20,2,0.5,0.3,5.0,gini,balanced_subsample,0.001
4731,0.7224033586206956,0.0994269727473176,"{'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0}",500,20,2,0.5,0.3,5.0,gini,balanced_subsample,0.0
